id,category,question,answer,source
207,澡堂,澡堂内可以使用吹风机吗,澡堂吹干区配备公共吹风机，免费使用，禁止自带大功率吹风设备进浴室,后勤澡堂安全规定
208,班车,班车行李放置有什么要求,大件行李箱放置车尾行李区，随身小件随身携带，禁止携带易燃易爆危险品乘车,通勤班车乘车规范
209,班车,班车错过发车可以中途拦车吗,班车仅在固定站点停靠，中途不允许临时拦车上下车,后勤班车管理条例
210,学籍,休学期间可以参加奖学金评选吗,休学当年无在校完整学习记录，不具备当年奖学金、助学金参评资格,学生资助管理办法
211,学籍,复学后之前的挂科记录会保留吗,所有挂科、补考记录永久保存在学籍档案，不会因复学清除,学籍档案管理细则
212,打印店,打印店可以扫描纸质文件转电子档吗,支持高清扫描、PDF转换，单页扫描0.2元，批量扫描有折扣,校园打印店价目表
213,打印店,可以制作简历彩印装订吗,提供简历彩打、精装装订服务，配套简历模板可供免费使用,打印店便民服务公告
214,竞赛,跨院系组队参加竞赛允许吗,学科竞赛支持跨专业、跨院系自由组队，每支队伍人数不超过赛事规定上限,校竞赛组织规则
215,竞赛,竞赛获奖奖金需要缴税吗,校级赛事奖金免税，省级、国家级赛事奖金由学校统一代扣个税,财务处奖金发放规定
216,心理中心,团体心理辅导怎么报名,企业微信心理板块预约团体活动，每期名额20人，报满即止,心理健康教育中心活动通知
217,心理中心,考前减压团体辅导每月有吗,考试月每周开设1场减压辅导，其余月份每月1场常规团体活动,心理中心年度活动安排
218,水电,宿舍热水供应时间段是什么,热水供应6:00-24:00，凌晨0点至6点无热水，仅提供冷水,后勤热水供应通知
219,水电,宿舍可以安装节水龙头吗,允许无改装式节水配件，严禁私自拆卸、改造宿舍原有供水设备,宿舍设施管理规定
220,图书馆,图书馆可以租借充电宝吗,图书馆前台提供共享充电宝租借，凭校园卡登记，2小时内免费，超时计费,图书馆便民服务
221,图书馆,图书馆自习室可以通宵学习吗,图书馆每日21:30闭馆，不提供通宵自习，通宵学习可申请教学楼自习教室,图书馆开放管理公告
222,校医院,校医务室具体地址在哪,校医院位于校园生活区3号宿舍楼南侧一楼，正门面向校内中心花园，导航搜索校医院可直达,校园设施分布图
223,校医院,校医院夜间急诊入口在哪,主楼侧门急诊通道，23点后正门关闭，需走西侧急诊小门就诊，门口有夜间指引灯,校医院急诊须知
224,快递站,校园快递驿站准确地址,生活区12号宿舍楼底层商铺，一食堂后方50米，所有主流快递统一在此存放,后勤校园商铺分布图
225,快递站,智能快递柜分布在哪,教学楼一号大厅、二宿舍楼下各一组24小时智能取件柜，大件仅能人工驿站领取,后勤快递布局通知
226,ATM机,校内银行ATM机分别在哪里,行政楼大厅设有建行ATM，一食堂正门旁设有工行ATM，两处设备全天24小时对外开放,校园金融设施公示
227,校园超市,校内超市详细位置,一号超市：二宿舍楼下；二号超市：图书馆负一层，两处超市均售卖日用品、零食文具,后勤商铺指引
228,校园出行,校园共享单车停放点位在哪,教学楼广场、快递驿站门口、食堂门前、宿舍区主干道均设有专属停车框，禁止随意停放,后勤共享单车管理规定
229,图书馆,图书馆具体位置在哪,校园中央主楼西侧，进门广场有大型阅读雕塑，共四层阅览区,校园导览手册
230,图书馆,考研专属自习室在图书馆几层,图书馆三楼东侧整片区域为考研自习室，需要线上预约固定座位,图书馆场地管理公告
231,澡堂,男女澡堂分别在哪个楼栋,公共澡堂位于8号宿舍楼一楼，东侧女生区域、西侧男生区域，楼栋外侧有清晰男女标识,后勤澡堂布局说明
232,体育场地,室内篮球场、羽毛球场在哪,校园体育场综合楼二楼，室外塑胶操场位于校园最北侧，靠近学校北门,体育部场地分布图
233,勤工助学,勤工助学岗位办公地点在哪,行政楼203室学生资助管理中心，所有岗位面试、薪资问题在此咨询,学生资助中心办公须知
234,保卫处,保卫处值班室准确位置,学校正门进门右侧平房，24小时有人在岗，校内紧急安全问题可直接前往,保卫处治安条例
235,卡务中心,办理校园卡的卡务中心在哪,行政楼一楼大厅东侧窗口，仅工作日8:30-17:00开放，午休12:00-14:00暂停业务,卡务中心办事指南
236,教务处,办理选课、学籍业务的教务处在哪,行政楼三楼305、306办公室，办理退课、重修、毕业审核等教务业务,教务处办事指引
237,校团委,办理二课学分、社团业务的团委在哪,综合楼四楼402校团委办公室，社团申报、学分补录、竞赛报名均在此办理,校团委办公通知
238,打印店,各个打印门店详细地址,1.行政楼大厅前台；2.图书馆一楼服务台；3.二宿舍一号超市旁,校园商铺点位公示
239,教学楼,实训楼具体位置在哪,校园东南角实训大楼，机电、计算机所有实操课程统一在此上课,人才培养场地说明
240,教学楼,自习空教室怎么找,每晚19:00-22:00开放1、2号教学楼空闲教室，教学楼一楼大厅电子屏实时显示空教室编号,教务处自习管理通知
241,食堂,一食堂二食堂分别在哪里,一食堂位于生活区中部快递驿站对面；二食堂在实训楼北侧，靠近教学楼区域,后勤食堂分布公告
242,校园便民,共享雨伞投放点位在哪,图书馆大门、一号教学楼大厅、校医院门口、食堂出入口均设有共享雨伞架,后勤便民服务细则
243,宿舍报修,后勤维修办公室在哪,9号宿舍楼一楼后勤服务中心，紧急维修可现场登记工单,后勤管理处办公地址
244,网络维修,校园网络运维办公室在哪,实训楼2楼208信息中心，网络卡顿、断网可现场报修调试,信息化中心点位通知
245,就业指导中心,办理实习、就业材料的办公室在哪,综合楼一楼101就业指导中心，招聘会、简历修改、档案咨询在此办理,就业指导中心指引
246,心理中心,心理咨询室详细地址,综合楼3楼302心理健康教育中心，独立隔音咨询房间，保护学生隐私,心理中心场地说明
247,物资,校园文具店在什么位置,二宿舍楼下一号超市内设有文具专区，图书馆打印店也售卖各类考试文具,后勤商铺公告
248,校车班车,班车始发停靠站点在哪,固定起点：学校正门门卫处；中途停靠：教学楼、宿舍区、二食堂门口,通勤班车停靠清单
249,创新创业,创业孵化园在哪里,校园北门创业实训楼一楼，可申请创业工位、创业补贴咨询,创业学院场地说明
250,医务室,校医院疫苗接种室在哪,校医院二楼202房间，流感、常规疫苗统一在此预约接种,校医院科室分布
251,校园商铺,水果店分布在哪里,一食堂门口、二宿舍楼下超市旁各有一家鲜果店，支持校园卡结算,后勤商铺管理公示
252,饮水,校内直饮水机点位在哪,每栋宿舍楼道每层、教学楼每层走廊、图书馆每层均设有免费冷热直饮水机,后勤饮水设施通知
